RIVER,HABITAT,SITE,REPLICATE,o__Naviculales,p__Bacillariophyta,g__Sellaphora,o__Achnanthales,g__Nitzschia,f__Gomphonemataceae,g__Gomphonema,o__Cymbellales,g__Ulnaria,g__Melosira,g__Cocconeis,g__Navicula,g__Cymbella,f__Fragilariaceae,g__Encyonema,g__Rhoicosphenia
EC,FAST,1,1,0.015929473,0.874540204,0.097294422,0.012235902,0,0,0,0,0,0,0,0,0,0,0,0
EC,FAST,2,2,0,0.28767291,0.630554535,0,0.011751744,0.016403477,0.053617334,0,0,0,0,0,0,0,0,0
EC,FAST,3,3,0,0.531728083,0.275808168,0,0.030763603,0.02205002,0.139650126,0,0,0,0,0,0,0,0,0
EC,FAST,4,4,0.013376898,0.808112662,0.138231745,0,0.027004258,0.013274437,0,0,0,0,0,0,0,0,0,0
EC,FAST,5,5,0,0.698138496,0.25018615,0.010424423,0.02293373,0.0183172,0,0,0,0,0,0,0,0,0,0
EC,SLOW,6,1,0,0.151891537,0.223163992,0.023100023,0,0.035680651,0.52803099,0.038132807,0,0,0,0,0,0,0,0
EC,SLOW,7,2,0,0.161614571,0.282812377,0.01133769,0.014277091,0.085583812,0.393643545,0.035981419,0,0,0,0,0,0,0.014749495,0
EC,SLOW,8,3,0,0.086739162,0.258283462,0,0.022058824,0.041855204,0.576029047,0.015034302,0,0,0,0,0,0,0,0
EC,SLOW,9,4,0,0.441222703,0.493010723,0,0,0.018385449,0.047381126,0,0,0,0,0,0,0,0,0
EC,SLOW,10,5,0.016184158,0.702503016,0.221753116,0,0,0.011761158,0.047798552,0,0,0,0,0,0,0,0,0
JC,FAST,11,1,0,0.342628676,0.174958247,0,0.052279974,0.021458576,0.24085227,0.014575636,0.017257958,0.111088618,0,0.010678678,0,0.014221367,0,0
JC,FAST,12,2,0,0.135018193,0.320031468,0,0.02310945,0.018802242,0.503038647,0,0,0,0,0,0,0,0,0
JC,FAST,13,3,0,0.314551607,0.163620981,0,0,0.029103215,0.406345178,0.032571912,0,0.025549915,0.015989848,0,0,0,0,0.012267343
JC,FAST,14,4,0,0.317367853,0.272815534,0,0.01218986,0.041208198,0.26763754,0.023408846,0,0.029557713,0.015641855,0,0,0,0,0.0201726
JC,FAST,15,5,0,0.338426656,0.199428233,0,0.011484621,0.023264984,0.3079653,0.029623423,0,0.012371845,0.077434937,0,0,0,0,0
JC,SLOW,16,1,0,0.187386922,0.24424916,0,0.030498837,0,0.137761696,0.015249418,0,0.384853967,0,0,0,0,0,0
JC,SLOW,17,2,0,0.127486785,0.308649688,0,0.027486785,0,0.024555502,0,0,0.51182124,0,0,0,0,0,0
JC,SLOW,18,3,0,0.182962742,0.189492553,0,0.036618155,0,0.072596133,0.011651231,0,0.491570996,0,0,0.01510819,0,0,0
JC,SLOW,19,4,0,0.213108785,0.16304051,0,0.03978152,0,0.038507055,0,0,0.54556213,0,0,0,0,0,0
JC,SLOW,20,5,0,0.21875399,0.256351334,0,0.054129963,0.010787693,0.139601685,0.023937189,0,0.268160347,0,0,0.028277799,0,0,0
