RIVER,HABITAT,REPLICATE,SITE,g__Nitzschia,o__Cymbellales,g__Gomphonema,f__Gomphonemataceae,p__Bacillariophyta,g__Rhoicosphenia,g__Encyonema,f__Achnanthidiaceae,g__Adlafia,g__Navicula,g__Fragilaria,g__Staurosira,g__Reimeria,g__Fistulifera,g__Gomphoneis,g__Ulnaria,g__Melosira,g__Cymbella,f__Fragilariaceae
EC,FAST,1,1,0.17164668,0,0.02060188,0,0.58630463,0,0.02379711,0.092621559,0.021791735,0.083236407,0,0,0,0,0,0,0,0,0
EC,FAST,2,2,0.08721698,0.011341203,0.35649226,0.038203379,0.506746178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC,FAST,3,3,0.127808605,0,0.287346493,0.038369872,0.525807332,0,0,0.020667698,0,0,0,0,0,0,0,0,0,0,0
EC,FAST,4,4,0.499868801,0,0,0,0.488530431,0,0,0,0.011600768,0,0,0,0,0,0,0,0,0,0
EC,FAST,5,5,0.413480456,0,0,0,0.520293551,0,0,0.050850986,0,0,0,0,0,0,0.015375007,0,0,0,0
EC,SLOW,1,6,0.01226563,0.016561145,0.394892205,0.061674233,0.514606787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC,SLOW,2,7,0.05140302,0.015099475,0.37584084,0.052906487,0.504750178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC,SLOW,3,8,0.11324532,0.010766202,0.309316991,0.080546318,0.486125168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC,SLOW,4,9,0.149536333,0.01273291,0.241638196,0.030734116,0.515345526,0,0,0.016278602,0.033734317,0,0,0,0,0,0,0,0,0,0
EC,SLOW,5,10,0.167233038,0,0.253475022,0.01913182,0.500883155,0,0,0.036977307,0.022299658,0,0,0,0,0,0,0,0,0,0
JC,FAST,1,11,0.176915647,0,0.06954282,0.035672891,0.600965873,0,0.013232453,0,0,0.015550547,0.032646491,0,0,0.018448165,0,0.015614939,0,0,0.021410174
JC,FAST,2,12,0.180235121,0,0.137496939,0.145505756,0.516617683,0,0,0,0,0,0,0.020144502,0,0,0,0,0,0,0
JC,FAST,3,13,0.078292047,0.011587353,0.123940678,0.132969361,0.564211213,0.038347458,0,0,0,0,0,0.018595176,0,0,0,0.014781617,0,0,0.017275098
JC,FAST,4,14,0.135420709,0,0.109690128,0.114558711,0.541729876,0.038748751,0,0,0,0,0,0.036802493,0,0,0,0.011383548,0,0,0.011665785
JC,FAST,5,15,0.07487323,0,0.094946669,0.06301801,0.706662004,0.014128344,0,0,0,0,0,0.01307921,0.033292534,0,0,0,0,0,0
JC,SLOW,1,16,0.185102138,0,0.042372183,0.146258223,0.537401283,0.031177353,0,0,0,0,0,0,0,0,0,0.01363494,0.010799136,0.016437769,0.016816975
JC,SLOW,2,17,0.217253939,0,0.020264424,0.053407925,0.657919627,0,0,0,0,0,0,0,0,0,0,0,0.012798583,0.025999638,0.012355865
JC,SLOW,3,18,0.235459011,0,0.03651404,0.105163667,0.533008046,0.016293986,0,0,0,0,0,0,0,0,0,0.017328012,0,0.038517465,0.017715772
JC,SLOW,4,19,0.296082581,0,0.02733987,0.118567788,0.539178508,0,0,0,0,0,0,0,0,0,0,0,0,0.018831253,0
JC,SLOW,5,20,0.240802529,0.018614453,0.033716744,0.107494073,0.542233734,0.017012029,0,0,0,0,0,0,0,0,0,0,0,0.040126438,0
