stream,flow,flow(cm/s),number,extraction,extraction_concentration,extraction_260/280,primer,cleaned_qbit,lost,barcode
eagle,fast,109.1,1,bt,154.5,2.03,18s,19.4,barcoded,91
eagle,fast,109.1,1,ps,198.8,1.9,18s,25.6,barcoded,40
eagle,fast,109.1,1,bt,154.5,2.03,rbcl,6.32,pcr_c,0
eagle,fast,109.1,1,ps,198.8,1.9,rbcl,21.4,barcoded,86
eagle,fast,89.31,2,bt,144.9,1.99,18s,0.488,pcr_c,0
eagle,fast,89.31,2,ps,141.3,1.92,18s,34.4,barcoded,28
eagle,fast,89.31,2,bt,144.9,1.99,rbcl,2.22,pcr_c,0
eagle,fast,89.31,2,ps,141.3,1.92,rbcl,38,barcoded,74
eagle,fast,60.91,3,ps,160.8,1.92,18s,15.3,barcoded,16
eagle,fast,60.91,3,ps,160.8,1.92,rbcl,34.4,barcoded,62
eagle,fast,82.68,4,bt,321.2,2.07,18s,14.6,barcoded,79
eagle,fast,82.68,4,ps,172.1,1.9,18s,19.7,barcoded,4
eagle,fast,82.68,4,bt,321.2,2.07,rbcl,53,barcoded,43
eagle,fast,82.68,4,ps,172.1,1.9,rbcl,58.8,barcoded,50
eagle,fast,160.34,5,bt,165.4,2.02,18s,16.1,barcoded,67
eagle,fast,160.34,5,ps,171.1,1.91,18s,68.6,barcoded,7
eagle,fast,160.34,5,ps,171.1,1.91,18s,68.6,barcoded,19
eagle,fast,160.34,5,ps,171.1,1.91,18s,68.6,barcoded,89
eagle,fast,160.34,5,bt,165.4,2.02,rbcl,44.4,barcoded,31
eagle,fast,160.34,5,ps,171.1,1.91,rbcl,118,barcoded,8
eagle,fast,160.34,5,ps,171.1,1.91,rbcl,118,barcoded,20
eagle,fast,160.34,5,ps,171.1,1.91,rbcl,118,barcoded,38
eagle,slow,8.42,6,ps,185.1,1.89,18s,29.4,barcoded,77
eagle,slow,8.42,6,ps,185.1,1.89,rbcl,25.4,barcoded,26
eagle,slow,30.1,7,ps,250.1,1.89,18s,28.8,barcoded,65
eagle,slow,30.1,7,ps,250.1,1.89,rbcl,23.2,barcoded,14
eagle,slow,7.7,8,ps,196.8,1.9,18s,28.8,barcoded,53
eagle,slow,7.7,8,ps,196.8,1.9,rbcl,18.9,barcoded,2
eagle,slow,18.81,9,bt,188.1,1.99,18s,16.7,barcoded,55
eagle,slow,18.81,9,ps,128.2,1.91,18s,16,barcoded,41
eagle,slow,18.81,9,bt,188.1,1.99,rbcl,2.58,pcr_c,0
eagle,slow,18.81,9,ps,128.2,1.91,rbcl,19.1,barcoded,87
eagle,slow,12,10,bt,161.9,2.02,18s,5.1,pcr_c,0
eagle,slow,12,10,ps,261,1.9,18s,8.49,barcoded,29
eagle,slow,12,10,ps,261,1.9,18s,8.49,barcoded,80
eagle,slow,12,10,ps,261,1.9,18s,8.49,barcoded,92
eagle,slow,12,10,bt,161.9,2.02,rbcl,3.64,pcr_c,0
eagle,slow,12,10,ps,261,1.9,rbcl,36.8,barcoded,75
eagle,slow,12,10,ps,261,1.9,rbcl,36.8,barcoded,81
eagle,slow,12,10,ps,261,1.9,rbcl,36.8,barcoded,93
johnson,fast,64.32,11,ps,221.2,1.9,18s,28.8,barcoded,17
johnson,fast,64.32,11,ps,221.2,1.9,rbcl,29,barcoded,63
johnson,fast,71.22,12,ps,809.5,1.88,18s,34.2,barcoded,5
johnson,fast,71.22,12,ps,809.5,1.88,rbcl,116,barcoded,51
johnson,fast,134.82,13,ps,312.8,1.89,18s,27,barcoded,90
johnson,fast,134.82,13,ps,312.8,1.89,rbcl,18.7,barcoded,39
johnson,fast,130.97,14,ps,529.4,1.87,18s,32.8,barcoded,78
johnson,fast,130.97,14,ps,529.4,1.87,rbcl,89.4,barcoded,27
johnson,fast,21.32,15,ps,464.1,1.89,18s,30.2,barcoded,56
johnson,fast,21.32,15,ps,464.1,1.89,18s,30.2,barcoded,66
johnson,fast,21.32,15,ps,464.1,1.89,18s,30.2,barcoded,68
johnson,fast,21.32,15,ps,464.1,1.89,rbcl,31.2,barcoded,15
johnson,fast,21.32,15,ps,464.1,1.89,rbcl,31.2,barcoded,57
johnson,fast,21.32,15,ps,464.1,1.89,rbcl,31.2,barcoded,69
johnson,slow,0.99,16,ps,352.1,1.89,18s,59,barcoded,54
johnson,slow,0.99,16,ps,352.1,1.89,rbcl,22.6,barcoded,3
johnson,slow,0,17,ps,275,1.9,18s,33.6,barcoded,42
johnson,slow,0,17,ps,275,1.9,rbcl,25.6,barcoded,88
johnson,slow,0.99,18,ps,344.5,1.89,18s,15.2,barcoded,30
johnson,slow,0.99,18,ps,344.5,1.89,rbcl,22.8,barcoded,76
johnson,slow,0.09,19,ps,115.4,1.92,18s,24,barcoded,18
johnson,slow,0.09,19,ps,115.4,1.92,rbcl,50.2,barcoded,64
johnson,slow,0.9,20,ps,343.9,1.89,18s,27.4,barcoded,6
johnson,slow,0.9,20,ps,343.9,1.89,18s,27.4,barcoded,32
johnson,slow,0.9,20,ps,343.9,1.89,18s,27.4,barcoded,44
johnson,slow,0.9,20,ps,343.9,1.89,rbcl,18.6,barcoded,33
johnson,slow,0.9,20,ps,343.9,1.89,rbcl,18.6,barcoded,45
johnson,slow,0.9,20,ps,343.9,1.89,rbcl,18.6,barcoded,52
